Group,Principal,Interest (%),Interest to Date ($),December 2016 Balance,Payment,Projected Next Balance,Weighted Balance,Rec. Pay %,Rec. Pay (Based on $500/mo),Projected Interest,Projected Interest %,Weighted Interest
A,3500,0.034,63.910000000000004,3563.91,50,3523.866078333333,0.1257698787072342,0.13,65,13.44016533295238,0.0010303030303030305,0.09730507418682818
B,2000,0.068,537.4399999999999,2537.44,100,2451.25216,0.08748734486239558,0.12,60,18.58344535771429,0.002060606060606061,0.13454176227622627
C,3231,0.0386,66.99,3297.99,50,3258.4377011666666,0.11629650654733116,0.09,45,14.17585088743238,0.0011696969696969699,0.10263134329762111
D,7500,0.0466,723.43,8223.43,550,7703.228486499999,0.2749349977736501,0.29,145,40.25296542524571,0.0014121212121212122,0.29142630986392504
E,7500,0.0429,338.24,7838.24,400,7464.831708000001,0.2664264071377877,0.27,135,35.93711774550857,0.0013,0.2601801258883279
F,3269,0.0386,386.15,3655.15,50,3616.7465658333335,0.12908486497160118,0.1,50,15.734447707561905,0.0011696969696969699,0.1139153844870715
Total,27000,,2116.16,29116.160000000003,1200,28018.362699833335,1,0.9999999999999999,500,138.12399245641524,,1
